VBR;SPY;ARKW.K;BND.O;AGG;GLD;VIG;DBC;IEFA.K;SOXX.O;SSO;SCHH.K;BOTZ.O;XLK;BSCM;VTV;VOO;VCSH.O;IWM;VUG;IEMG.K;VBK;ICLN.O;SLV;QQQ.O;IVV;AOK;LQD;VGT;TIP;HYG;TAN;ARKG.K;NOBL.K;IYH;REIT.O;VXUS.O;XLY;IEF.O;GOVT.K;EEM;VTI;ARKK.K;VNQ;VEU;ANGL.O;SHY.O;VYM;VWO;XLV;VB;TLT.O;XLF;FSKAX.O;VBTLX.O;VBINX.O;SWPPX.O;VTINX.O;VFIUX.O;VSCGX.O;VFFVX.O;VBIAX.O;VBMFX.O;VTWAX.O;VFIJX.O;VTIAX.O;FXAIX.O;FZROX.O;VGSLX.O;VFSAX.O;FTBFX.O;VIGAX.O;VFIFX.O;FCNTX.O;VTMGX.O;VFIAX.O;PRGTX.O;VTWNX.O;VSMGX.O;VTBIX.O;VTSAX.O;VTTSX.O;VDIGX.O;VFINX.O;PRGFX.O;VTSMX.O;IUSB.O;IAGG.K;IDEV.K;IJH;VFAWF.PK;IUSQ.DE;,,,
Updated at 16:28:26,Fund Type,Total Expense Ratio,Management Approach
VBR,Equity,0.07,Active
SPY,Equity,0.09,Passive
ARKW.K,Equity,0.75,Active
BND.O,Bond,0.03,Passive
AGG,Bond,0.03,Passive
GLD,Commodity,0.4,Passive
VIG,Equity,0.06,Active
DBC,Commodity,0.84,Passive
IEFA.K,Equity,0.07,Passive
SOXX.O,Equity,0.39,Passive
SSO,Equity,0.91,Active
SCHH.K,Equity,0.07,Passive
BOTZ.O,Equity,0.69,Active
XLK,Equity,0.1,Active
BSCM,Unable to collect data for the field 'TR.FundType' and some specific identifier(s).,Unable to collect data for the field 'TR.FundTER' and some specific identifier(s).,
VTV,Equity,0.04,Active
VOO,Equity,0.03,Passive
VCSH.O,Bond,0.04,Passive
IWM,Equity,0.19,Passive
VUG,Equity,0.04,Active
IEMG.K,Equity,0.1,Passive
VBK,Equity,0.07,Active
ICLN.O,Equity,0.41,Passive
SLV,Commodity,0.5,Passive
QQQ.O,Equity,0.2,Passive
IVV,Equity,0.03,Passive
AOK,Mixed Assets,0.11,Passive
LQD,Bond,0.14,Passive
VGT,Equity,0.1,Passive
TIP,Bond,0.19,Passive
HYG,Bond,0.49,Passive
TAN,Equity,0.69,Passive
ARKG.K,Equity,0.75,Active
NOBL.K,Equity,0.35,Active
IYH,Equity,0.4,Passive
REIT.O,Equity,0.68,Active
VXUS.O,Equity,0.07,Passive
XLY,Equity,0.1,Active
IEF.O,Bond,0.15,Passive
GOVT.K,Bond,0.05,Passive
EEM,Equity,0.69,Passive
VTI,Equity,0.03,Passive
ARKK.K,Equity,0.75,Active
VNQ,Equity,0.12,Passive
VEU,Equity,0.08,Passive
ANGL.O,Bond,0.35,Active
SHY.O,Bond,0.15,Passive
VYM,Equity,0.06,Active
VWO,Equity,0.08,Passive
XLV,Equity,0.1,Active
VB,Equity,0.05,Active
TLT.O,Bond,0.15,Passive
XLF,Equity,0.1,Active
FSKAX.O,Equity,0.01,Passive
VBTLX.O,Bond,0.05,Passive
VBINX.O,Mixed Assets,0.18,Active
SWPPX.O,Equity,0.02,Passive
VTINX.O,Mixed Assets,0,Active
VFIUX.O,Bond,0.1,Active
VSCGX.O,Mixed Assets,0,Active
VFFVX.O,Mixed Assets,0,Active
VBIAX.O,Mixed Assets,0.07,Active
VBMFX.O,Bond,0.15,Passive
VTWAX.O,Equity,0.1,Passive
VFIJX.O,Bond,0.11,Active
VTIAX.O,Equity,0.11,Passive
FXAIX.O,Equity,0.02,Passive
FZROX.O,Equity,0,Passive
