,cond,age,risk-taking,iteration,date,portfolio_cumulative_return,portfolio_std_dev,sharpe_ratio
0,control,15,averse,0,2023-07-31,0.014487874341230667,0.07149556210094504,1.6642184182292403
1,control,15,averse,0,2023-08-31,0.0009649211942990288,0.08437049777165416,-0.4360422265342423
2,control,15,averse,0,2023-09-30,-0.03675690588161151,0.08179893103757915,-2.2187953601707604
3,control,15,averse,0,2023-10-31,-0.05459487790206219,0.08184705739862094,-2.347000664157344
4,control,15,averse,0,2023-11-30,0.009769136200798334,0.1063754419312477,-0.17985727776594596
5,control,15,averse,0,2023-12-31,0.05364494087513494,0.10513639894765138,0.603993356111656
6,control,15,averse,0,2024-01-31,0.051855612277275975,0.0988068255046213,0.46682953944614136
7,control,15,averse,0,2024-02-29,0.07210819971714044,0.09339367730480602,0.7132028140034672
8,control,15,averse,0,2024-03-31,0.09228211291822497,0.09018586553515721,0.8783624396652798
9,control,15,averse,0,2024-04-30,0.053553550864778865,0.09143064617753252,0.23205818473705947
10,control,15,averse,0,2024-05-31,0.08733491223879897,0.08888618523649448,0.5914442705445314
11,control,15,averse,0,2024-06-30,0.10863229259890006,0.08612413807546282,0.7442762801002617
12,control,15,averse,0,2024-07-31,0.13525540096481636,0.08393406090792732,0.9568868085951262
13,control,15,averse,0,2024-08-31,0.16015107435327458,0.08295246702928333,1.1165829846622017
14,control,15,averse,0,2024-09-30,0.18155829255168143,0.08292831007068477,1.1829279662128884
15,control,15,averse,0,2024-10-31,0.16264348744283907,0.0822447626512021,0.9249851234850045
16,control,15,averse,0,2024-11-30,0.20168821710849105,0.08438740681090369,1.130895947497435
17,control,15,averse,0,2024-12-31,0.1688361383926198,0.0838124842914176,0.7847256907622249
18,control,15,averse,1,2023-07-31,0.01045400565665533,0.05778114865218456,1.2434147489661285
19,control,15,averse,1,2023-08-31,-0.014771555061297903,0.1442057973984827,-0.8652051309152717
20,control,15,averse,1,2023-09-30,-0.06731902043543081,0.13066993349548298,-2.186132792544024
21,control,15,averse,1,2023-10-31,-0.0524619261261412,0.127898509452513,-1.4585111686902088
22,control,15,averse,1,2023-11-30,0.04325303894686239,0.1527784139401225,0.411629192293926
23,control,15,averse,1,2023-12-31,0.060721145692294254,0.14071919337986477,0.5532295172878572
24,control,15,averse,1,2024-01-31,0.06706998750658122,0.1457150038084152,0.49868019295403193
25,control,15,averse,1,2024-02-29,0.0806293088857637,0.1397998123124937,0.5703103213072118
26,control,15,averse,1,2024-03-31,0.07539824148595864,0.13680123649728781,0.41469142476207865
27,control,15,averse,1,2024-04-30,0.03466917324434693,0.14109911093209027,-0.009046649597310894
28,control,15,averse,1,2024-05-31,0.1132719904391255,0.13968252506332532,0.5791303432845626
29,control,15,averse,1,2024-06-30,0.18445635379908465,0.14177718799005062,0.975489276713396
30,control,15,averse,1,2024-07-31,0.1885174904984548,0.14491730118183702,0.8851284750045029
31,control,15,averse,1,2024-08-31,0.20845800276878612,0.1436346734282629,0.9244873771224043
32,control,15,averse,1,2024-09-30,0.2362440943940436,0.1438554297359327,0.9696226107362679
33,control,15,averse,1,2024-10-31,0.19415681654068062,0.1429718444933431,0.6890705495100549
34,control,15,averse,1,2024-11-30,0.24650062711952936,0.14212535049997846,0.8801147379204599
35,control,15,averse,1,2024-12-31,0.2578502146486057,0.13976726464100994,0.863004470423304
36,control,15,averse,2,2023-07-31,0.012329555598513231,0.06852489447475883,1.3651012520565171
37,control,15,averse,2,2023-08-31,-0.0011003480116884568,0.10830010879129386,-0.44984206462519016
38,control,15,averse,2,2023-09-30,-0.05855080997953932,0.10965537871956706,-2.3419030409371895
39,control,15,averse,2,2023-10-31,-0.040067231417913685,0.11782188185507125,-1.3053499310181862
40,control,15,averse,2,2023-11-30,0.053746307343976785,0.1452369228134656,0.6151674000669578
41,control,15,averse,2,2023-12-31,0.06841071883672911,0.13344949996839112,0.7009606689309393
42,control,15,averse,2,2024-01-31,0.082527017207489,0.13793076701899537,0.7242145882930783
43,control,15,averse,2,2024-02-29,0.11530885443488192,0.13265950950066627,1.007432409688696
44,control,15,averse,2,2024-03-31,0.10514208536754843,0.13003561472293093,0.7414329757375312
45,control,15,averse,2,2024-04-30,0.05736996003522865,0.13468193619131816,0.19135464656076515
46,control,15,averse,2,2024-05-31,0.12230160762874087,0.13273651758777347,0.6838183354379073
47,control,15,averse,2,2024-06-30,0.18652118293164133,0.13181486880746812,1.064534709615701
48,control,15,averse,2,2024-07-31,0.19480856962323068,0.13418086411140095,0.9980712116636662
49,control,15,averse,2,2024-08-31,0.21428058040417008,0.13398090482911806,1.0271127553195842
50,control,15,averse,2,2024-09-30,0.23635243243496507,0.13554206992046094,1.0296956443775365
51,control,15,averse,2,2024-10-31,0.20898868539680615,0.13435353489348767,0.8114970599405976
52,control,15,averse,2,2024-11-30,0.26736131006521324,0.13270306989393632,1.0458091825508218
53,control,15,averse,2,2024-12-31,0.28092200280102864,0.1307068802934513,1.029918341264087
54,control,15,averse,3,2023-07-31,0.012074480423108547,0.06860749834553742,1.3201223711509769
55,control,15,averse,3,2023-08-31,-0.0015748474512659039,0.07887011784692659,-0.6522371510703374
56,control,15,averse,3,2023-09-30,-0.03780243509007697,0.07724501186167128,-2.3979115055261038
57,control,15,averse,3,2023-10-31,-0.05511032729303955,0.07779742633834227,-2.486376071712874
58,control,15,averse,3,2023-11-30,0.006079363074534161,0.10242967011147312,-0.2728511932925899
59,control,15,averse,3,2023-12-31,0.04945693381056859,0.10249489166549101,0.5371157259011495
60,control,15,averse,3,2024-01-31,0.043293307317748386,0.09620019717842059,0.3254045512284124
61,control,15,averse,3,2024-02-29,0.0594023677570803,0.09071774248931187,0.5196159837561601
62,control,15,averse,3,2024-03-31,0.07676057021103899,0.08776671879535965,0.6670035887578267
63,control,15,averse,3,2024-04-30,0.03881861176053647,0.08838973931600683,0.04140397790271523
64,control,15,averse,3,2024-05-31,0.06929091996417913,0.08627444819620758,0.38134554942876386
65,control,15,averse,3,2024-06-30,0.08746296749347215,0.08347498496137885,0.5195192933491625
66,control,15,averse,3,2024-07-31,0.11629310599919629,0.08121793571963765,0.7780951715432826
67,control,15,averse,3,2024-08-31,0.14098949909636693,0.07997797823216433,0.9580558789490063
68,control,15,averse,3,2024-09-30,0.16032583483296103,0.07937015635332674,1.0321293863931496
69,control,15,averse,3,2024-10-31,0.14105588916559952,0.07878700557844194,0.7693032343199468
70,control,15,averse,3,2024-11-30,0.17486911391804782,0.08051278009267808,0.9629468344230185
71,control,15,averse,3,2024-12-31,0.14061306042856536,0.08013787382579605,0.6000122315832525
72,control,15,averse,4,2023-07-31,0.016100984907777782,0.08037319588629593,1.7211404746235226
73,control,15,averse,4,2023-08-31,-0.016849559255056268,0.15721477771689737,-0.8643820214224006
74,control,15,averse,4,2023-09-30,-0.08711954786471932,0.14447390135941007,-2.4080726072372682
75,control,15,averse,4,2023-10-31,-0.10214642569741494,0.13342754883049718,-2.3223319350247245
76,control,15,averse,4,2023-11-30,-0.016425922857990494,0.154716795550889,-0.5220378542300709
77,control,15,averse,4,2023-12-31,0.020245544950368455,0.14797720982699533,-0.02041101012673354
78,control,15,averse,4,2024-01-31,0.0030909740638802585,0.1445986225398084,-0.25717243943303186
79,control,15,averse,4,2024-02-29,0.005676533548111928,0.13749858532216086,-0.24677886172273145
80,control,15,averse,4,2024-03-31,-0.0010321695043566947,0.13217976903367717,-0.3307516690638794
81,control,15,averse,4,2024-04-30,-0.025732061612414925,0.13234672643242473,-0.5494358857924407
82,control,15,averse,4,2024-05-31,0.04453511437125646,0.13544292753447737,0.043986362435919496
83,control,15,averse,4,2024-06-30,0.09990815392526109,0.1371397851514862,0.40510945638088264
84,control,15,averse,4,2024-07-31,0.14585825527240792,0.1370578339732671,0.6557613417952356
85,control,15,averse,4,2024-08-31,0.1871251192510408,0.13603367358577698,0.8459732346860135
86,control,15,averse,4,2024-09-30,0.20690235875998786,0.13335291471304872,0.8798345724823994
87,control,15,averse,4,2024-10-31,0.16046421087464613,0.13297764878134352,0.560375737769962
88,control,15,averse,4,2024-11-30,0.20675037386813133,0.1346925811060537,0.7335175630678731
89,control,15,averse,4,2024-12-31,0.20279864832845274,0.13100742057675305,0.663017772371358
90,control,15,averse,5,2023-07-31,0.021374589853430992,0.1074182718411796,1.8957807458784974
91,control,15,averse,5,2023-08-31,-0.000799512144732839,0.12257320333702228,-0.3833436261629318
92,control,15,averse,5,2023-09-30,-0.0504004057209948,0.11554820089859694,-1.9839611382044662
93,control,15,averse,5,2023-10-31,-0.05536339700209214,0.11105942440056904,-1.747626082927423
94,control,15,averse,5,2023-11-30,-0.0009222942490917374,0.11642422413071332,-0.38270097596175073
95,control,15,averse,5,2023-12-31,0.0015082291655508229,0.10871315091274728,-0.36306831798375283
96,control,15,averse,5,2024-01-31,0.00902277873518531,0.10553773538370709,-0.25768862259393027
97,control,15,averse,5,2024-02-29,0.015709313299418604,0.10113973937967083,-0.18735178488543788
98,control,15,averse,5,2024-03-31,0.003738831296599132,0.09783229035650814,-0.38345072307984474
99,control,15,averse,5,2024-04-30,-0.016950769935489718,0.09728812898392239,-0.6411756664289195
100,control,15,averse,5,2024-05-31,0.03206987719761045,0.10257677032879957,-0.07398091618060823
101,control,15,averse,5,2024-06-30,0.06535932230478125,0.10167055159139392,0.21353647016359775
102,control,15,averse,5,2024-07-31,0.09767783130994379,0.10052028038252137,0.4612367532601421
