XBI;EFA;LIT;TLH;SCHK.K;REET.K;MCHI.O;INDA.K;IWO;IXUS.O;VEA;ACWX.O;DVY.O;ARKF.K;IPO;CIBR.O;VT;SCHD.K;USMV.K;IYR;IAU;PBW;USO;VGTSX.O;VEMAX.O;VTISX.O;FBALX.O;PRBLX.O;,,,
Paused at 10:33:30,Fund Type,Total Expense Ratio,Management Approach
XBI,Equity,0.36,Active
EFA,Equity,0.33,Passive
LIT,Equity,0.75,Passive
TLH,Bond,0.15,Passive
SCHK.K,Equity,0.05,Passive
REET.K,Equity,0.14,Passive
MCHI.O,Equity,0.58,Passive
INDA.K,Equity,0.68,Passive
IWO,Equity,0.24,Active
IXUS.O,Equity,0.09,Passive
VEA,Equity,0.05,Passive
ACWX.O,Equity,0.32,Passive
DVY.O,Equity,0.38,Active
ARKF.K,Equity,0.75,Active
IPO,Equity,0.6,Passive
CIBR.O,Equity,0.6,Active
VT,Equity,0.07,Passive
SCHD.K,Equity,0.06,Active
USMV.K,Equity,0.15,Active
IYR,Equity,0.4,Passive
IAU,Commodity,0.25,Passive
PBW,Equity,0.66,Passive
USO,Commodity,0.6,Passive
VGTSX.O,Equity,0.17,Passive
VEMAX.O,Equity,0.14,Passive
VTISX.O,Equity,0.047,Passive
FBALX.O,Mixed Assets,0.5,Active
PRBLX.O,Equity,0.82,Active
