,cond,age,risk-taking,iteration,date,portfolio_cumulative_return,portfolio_std_dev,sharpe_ratio
0,control,15,averse,0,2023-07-31,0.017757925201024927,0.08547550173130575,1.8544675470946763
1,control,15,averse,0,2023-08-31,-0.0009119568165047998,0.10407908990834999,-0.4576777590737013
2,control,15,averse,0,2023-09-30,-0.04869604903987457,0.10448176309851386,-2.138073619128619
3,control,15,averse,0,2023-10-31,-0.04506305113484432,0.09734919002818739,-1.7164271344508375
4,control,15,averse,0,2023-11-30,0.03073028834594349,0.12189766854640355,0.260757153858465
5,control,15,averse,0,2023-12-31,0.057471729213725675,0.11678309724944923,0.6101068864635788
6,control,15,averse,0,2024-01-31,0.07857357143197108,0.1135484823201057,0.8181753430432831
7,control,15,averse,0,2024-02-29,0.10612295742967937,0.1081933637032778,1.1025053748033085
8,control,15,averse,0,2024-03-31,0.12990252004329816,0.10324005152216748,1.256219625477578
9,control,15,averse,0,2024-04-30,0.08547760171020502,0.10537816694254053,0.5637722218994621
10,control,15,averse,0,2024-05-31,0.12545259274557852,0.10267704729712535,0.9175820423637093
11,control,15,averse,0,2024-06-30,0.1553438342389255,0.09997586587995784,1.0984983974876845
12,control,15,averse,0,2024-07-31,0.1636822863252423,0.0972093601399175,1.0897489533882692
13,control,15,averse,0,2024-08-31,0.20131823770465695,0.09479528535627794,1.3383279128771786
14,control,15,averse,0,2024-09-30,0.22747720157104667,0.09484740657758574,1.400956521362369
15,control,15,averse,0,2024-10-31,0.19078962844545444,0.09601339548287016,1.0011836908394511
16,control,15,averse,0,2024-11-30,0.2551608391896971,0.0983491193151705,1.3297570435376256
17,control,15,averse,0,2024-12-31,0.2045444932014271,0.09852993503968475,0.8925090968518651
18,control,15,averse,1,2023-07-31,0.014965475214677948,0.06878232854467034,1.8127183290922328
19,control,15,averse,1,2023-08-31,-0.010005220166132367,0.12322947960766077,-0.8019234115335309
20,control,15,averse,1,2023-09-30,-0.05813485976280308,0.11396726612294268,-2.2411085696904522
21,control,15,averse,1,2023-10-31,-0.05910139704491668,0.10710373935435766,-1.9023741590005203
22,control,15,averse,1,2023-11-30,0.024931342039934412,0.1315558443940395,0.1334511737433158
23,control,15,averse,1,2023-12-31,0.05943403703309058,0.12334864582976816,0.6099259703935384
24,control,15,averse,1,2024-01-31,0.058205885945313396,0.12493999392391027,0.45759301803663416
25,control,15,averse,1,2024-02-29,0.0722305003464836,0.11892759082459607,0.5616576615925043
26,control,15,averse,1,2024-03-31,0.07551076138994439,0.11482084517590035,0.4953787156533676
27,control,15,averse,1,2024-04-30,0.03355364603224631,0.11778687762058737,-0.02209829575131717
28,control,15,averse,1,2024-05-31,0.09735973372127904,0.11649903211324081,0.5451691605758225
29,control,15,averse,1,2024-06-30,0.14540898919031275,0.11617052026924089,0.8616787006178728
30,control,15,averse,1,2024-07-31,0.1684081893765743,0.11581811157610603,0.9513835146214032
31,control,15,averse,1,2024-08-31,0.18257355781635098,0.11549614469449734,0.9636401352221932
32,control,15,averse,1,2024-09-30,0.2056059956578027,0.11630717977430244,1.0003420061436585
33,control,15,averse,1,2024-10-31,0.16984701036729843,0.11562599156193948,0.7024275800345084
34,control,15,averse,1,2024-11-30,0.2237099488232397,0.11715158120051065,0.9393464386057941
35,control,15,averse,1,2024-12-31,0.2139225566086087,0.1149735882913385,0.8151758143133568
36,control,15,averse,2,2023-07-31,0.005932010134560128,0.04355176540976386,0.4836715402499615
37,control,15,averse,2,2023-08-31,-0.013023573511592446,0.11099291896995292,-1.0389973072071406
38,control,15,averse,2,2023-09-30,-0.0552386414820526,0.09905529280437277,-2.4803185212208834
39,control,15,averse,2,2023-10-31,-0.04754368143383236,0.09553131410956742,-1.8176783918357078
