,cond,age,risk-taking,iteration,date,portfolio_cumulative_return,portfolio_std_dev,sharpe_ratio
0,control,15,averse,0,2023-07-31,0.01624633971470768,0.08844819645387492,1.5838799807165478
1,control,15,averse,0,2023-08-31,-0.00018003423959989107,0.08621890641601454,-0.5035649259715406
2,control,15,averse,0,2023-09-30,-0.03720318603413997,0.08192355065649924,-2.234881174757071
3,control,15,averse,0,2023-10-31,-0.05981973413899111,0.08571008388400929,-2.398780536875586
4,control,15,averse,0,2023-11-30,-0.0010319406989487412,0.10879350847785038,-0.4119224014904904
5,control,15,averse,0,2023-12-31,0.035929818569369276,0.1075375602346188,0.2601058214866775
6,control,15,averse,0,2024-01-31,0.035596859700844474,0.09930797990857848,0.18176792002393186
7,control,15,averse,0,2024-02-29,0.057003289200388885,0.09426864216883146,0.46117928933355146
8,control,15,averse,0,2024-03-31,0.06799662279684648,0.09073674895513746,0.5169485157234703
9,control,15,averse,0,2024-04-30,0.018794610842535198,0.09181463902080174,-0.219218806801059
10,control,15,averse,0,2024-05-31,0.048923286114731956,0.09131778028788559,0.1174976118096798
11,control,15,averse,0,2024-06-30,0.06450262641318893,0.08818717399635434,0.23666520929613577
12,control,15,averse,0,2024-07-31,0.10286405741958182,0.08565281681217075,0.5960743781855611
13,control,15,averse,0,2024-08-31,0.1355755474977398,0.08486210448091572,0.8495612595601275
14,control,15,averse,0,2024-09-30,0.14615984502557633,0.08413950830284209,0.8449261449604383
15,control,15,averse,0,2024-10-31,0.1287139772236363,0.08387976928684335,0.6167912840802161
16,control,15,averse,0,2024-11-30,0.15258093135286477,0.08377573274273123,0.7467294460512142
17,control,15,averse,0,2024-12-31,0.11597642173572464,0.08345414354649537,0.38970422838885677
18,control,15,averse,1,2023-07-31,0.01618013746191571,0.09058660031493558,1.5376496539679172
19,control,15,averse,1,2023-08-31,-0.0004867729674694621,0.0879064464597329,-0.5140267415915398
20,control,15,averse,1,2023-09-30,-0.03861675829944933,0.08331086073040156,-2.258105363834791
21,control,15,averse,1,2023-10-31,-0.06176131331806434,0.08694048902865684,-2.422140359584197
22,control,15,averse,1,2023-11-30,-0.0013919777648240261,0.11087286393649273,-0.41185978473699414
23,control,15,averse,1,2023-12-31,0.03720656325752225,0.10995246391215772,0.27751271986156584
24,control,15,averse,1,2024-01-31,0.03678385137091955,0.10158048835110935,0.197780312479472
25,control,15,averse,1,2024-02-29,0.05751831604739843,0.0964392367207338,0.45895121735980476
26,control,15,averse,1,2024-03-31,0.06892370782558621,0.09289808907293776,0.5181551124868061
27,control,15,averse,1,2024-04-30,0.018419369502033822,0.09395066745990084,-0.21897078757533303
28,control,15,averse,1,2024-05-31,0.049259000886777704,0.09341622895165098,0.11876702365630153
29,control,15,averse,1,2024-06-30,0.06536513800035126,0.09025742764010301,0.24060147100666185
30,control,15,averse,1,2024-07-31,0.10496984233998896,0.0876776452376258,0.6040300036588065
31,control,15,averse,1,2024-08-31,0.13847156644029135,0.08691957769307421,0.857320787125056
32,control,15,averse,1,2024-09-30,0.149757225888687,0.08601425448220355,0.858511356526153
33,control,15,averse,1,2024-10-31,0.13086538276667903,0.08576829940131309,0.6212683049547324
34,control,15,averse,1,2024-11-30,0.15526699706126057,0.08569649155995111,0.7511002836888246
35,control,15,averse,1,2024-12-31,0.11896437304364027,0.08536269117172232,0.40317294191252934
36,control,15,averse,2,2023-07-31,0.016576688777208526,0.09629278365837234,1.4964259369227928
37,control,15,averse,2,2023-08-31,0.0035504281845200047,0.08294685377348161,-0.2614772378931961
38,control,15,averse,2,2023-09-30,-0.024886509920193145,0.07453152167281316,-1.8551660034650543
39,control,15,averse,2,2023-10-31,-0.045612648458495664,0.07678997373261862,-2.1949127379250664
40,control,15,averse,2,2023-11-30,0.001180316317456187,0.08974287849170377,-0.4410933022057686
41,control,15,averse,2,2023-12-31,0.02545519427450227,0.08729617019510091,0.08276582496643464
42,control,15,averse,2,2024-01-31,0.03379180209280963,0.080578792220898,0.18556243131378572
43,control,15,averse,2,2024-02-29,0.0530563281092018,0.07727601769419037,0.4847054793682347
44,control,15,averse,2,2024-03-31,0.05998111108683313,0.07390626722416822,0.4910322349790123
45,control,15,averse,2,2024-04-30,0.019143523746287583,0.07469067123056239,-0.2639383529113358
46,control,15,averse,2,2024-05-31,0.044014034890822895,0.07435051069069412,0.07250921649404113
47,control,15,averse,2,2024-06-30,0.05615392087017246,0.07216830978926637,0.17582095486393773
48,control,15,averse,2,2024-07-31,0.08617474020231608,0.06998036136968679,0.5137189568402551
49,control,15,averse,2,2024-08-31,0.113408963159908,0.06950855503219822,0.7700303980957869
50,control,15,averse,2,2024-09-30,0.11737654125976826,0.0690377921697319,0.7097772565495907
51,control,15,averse,2,2024-10-31,0.10516999457113796,0.06876566483035214,0.5051470576481427
52,control,15,averse,2,2024-11-30,0.12061255113448754,0.06812146805378318,0.6008723592811535
53,control,15,averse,2,2024-12-31,0.09022497621687631,0.0675745653551539,0.23871363029798123
54,control,15,averse,3,2023-07-31,0.020246622227429567,0.06336192373769949,2.9892489099416832
55,control,15,averse,3,2023-08-31,-0.0011020699085896313,0.12547679846920018,-0.38834144347872046
56,control,15,averse,3,2023-09-30,-0.05063039648418022,0.12027966531473906,-1.9124646700631236
57,control,15,averse,3,2023-10-31,-0.05996848193443227,0.11750554135866234,-1.7529562977615942
58,control,15,averse,3,2023-11-30,0.011344439141523388,0.13280324216343348,-0.11562405951513922
59,control,15,averse,3,2023-12-31,0.037618649311952135,0.12422192986530382,0.2522445911376112
60,control,15,averse,3,2024-01-31,0.032281976173406335,0.12347007439897421,0.1001327956239769
61,control,15,averse,3,2024-02-29,0.049836437861497496,0.11648595393972296,0.2794695289166494
62,control,15,averse,3,2024-03-31,0.04956244713640401,0.11247031874936625,0.2002990129226764
63,control,15,averse,3,2024-04-30,0.02619481009100655,0.11378829784190952,-0.09971468061844607
64,control,15,averse,3,2024-05-31,0.08775736343552443,0.11393969580478402,0.46544000299166854
65,control,15,averse,3,2024-06-30,0.1339099199192586,0.11356809078019832,0.7823267064888919
66,control,15,averse,3,2024-07-31,0.16580215809166288,0.11379211677419712,0.9477108042578709
67,control,15,averse,3,2024-08-31,0.19375737983168695,0.11358842327143305,1.0616488495506489
68,control,15,averse,3,2024-09-30,0.2115125971232723,0.1144299918315447,1.0558189846247603
69,control,15,averse,3,2024-10-31,0.19271781408284894,0.11329508631087847,0.8605513059140044
70,control,15,averse,3,2024-11-30,0.2451519769190491,0.11417097608206636,1.0878321951023764
71,control,15,averse,3,2024-12-31,0.24659832637189605,0.11142517447756531,1.0209673142797682
72,control,15,averse,4,2023-07-31,0.011547122061479564,0.0565716106327995,1.4927232562238009
73,control,15,averse,4,2023-08-31,-0.01098550052523839,0.13279653169735228,-0.7847043503789372
74,control,15,averse,4,2023-09-30,-0.06071502756976799,0.12067469744222001,-2.1877076549862617
75,control,15,averse,4,2023-10-31,-0.051832434575658115,0.11767618308352631,-1.5712426638950254
76,control,15,averse,4,2023-11-30,0.035545617516355765,0.14017548388836146,0.3116434821440142
77,control,15,averse,4,2023-12-31,0.05506416974471451,0.129384122326678,0.5129865012664415
78,control,15,averse,4,2024-01-31,0.05966345179030497,0.13286169350587854,0.44943973532922166
79,control,15,averse,4,2024-02-29,0.07274201868043839,0.12711035806425133,0.5316863168819327
80,control,15,averse,4,2024-03-31,0.07002139746208758,0.1238924803370629,0.4002798340322675
81,control,15,averse,4,2024-04-30,0.03432526409777048,0.1275949022042464,-0.01320919798145541
82,control,15,averse,4,2024-05-31,0.10597411697783121,0.12651346859883453,0.5763776045376364
83,control,15,averse,4,2024-06-30,0.16902943305321338,0.1282652112907449,0.960608755617121
84,control,15,averse,4,2024-07-31,0.1773653528638912,0.13086466267468513,0.9035699858356261
85,control,15,averse,4,2024-08-31,0.19813442355257016,0.12981587389467733,0.9569326738440879
86,control,15,averse,4,2024-09-30,0.22370281224893773,0.12989738173531,1.0010126360657619
87,control,15,averse,4,2024-10-31,0.18761805226697414,0.12894035929924294,0.7280396536618216
88,control,15,averse,4,2024-11-30,0.23605664392237347,0.1284925041234435,0.919931901522055
89,control,15,averse,4,2024-12-31,0.2449378246243199,0.1261500355481851,0.8937576142969388
90,control,15,averse,5,2023-07-31,0.014780765150276265,0.08895213528757542,1.3768756377602842
91,control,15,averse,5,2023-08-31,-0.005448510953321217,0.10444676991708007,-0.7032329392045198
92,control,15,averse,5,2023-09-30,-0.05110433296170003,0.10276572359299133,-2.2541711351380584
93,control,15,averse,5,2023-10-31,-0.059737283594402,0.09871084393539524,-2.080700169125838
94,control,15,averse,5,2023-11-30,0.024027158083798517,0.1312539423965522,0.11692954433558542
95,control,15,averse,5,2023-12-31,0.07109617282866809,0.12676044241385617,0.7813796846501542
96,control,15,averse,5,2024-01-31,0.07354318341436916,0.1204516997124419,0.6976647409589616
97,control,15,averse,5,2024-02-29,0.10141805679085336,0.11416753565421829,0.980578619237442
98,control,15,averse,5,2024-03-31,0.12528863312814376,0.109683694069131,1.1257288586736716
99,control,15,averse,5,2024-04-30,0.07112077871243372,0.11260540356870652,0.3748309356912867
100,control,15,averse,5,2024-05-31,0.115247711481401,0.10878644755827116,0.7634603343005305
101,control,15,averse,5,2024-06-30,0.14801591994155294,0.10556832494764487,0.9723826561073012
102,control,15,averse,5,2024-07-31,0.17189981137720145,0.10232442736610324,1.1075476263411734
103,control,15,averse,5,2024-08-31,0.20252453300245787,0.10117797278468055,1.2637925136360242
104,control,15,averse,5,2024-09-30,0.22993704293921158,0.1030479120094772,1.3074724003945186
105,control,15,averse,5,2024-10-31,0.1950795845622315,0.10306698596726324,0.9622143515187157
106,control,15,averse,5,2024-11-30,0.24381697660239898,0.10529212469499322,1.1712159412787098
107,control,15,averse,5,2024-12-31,0.20193140387033082,0.10477879239110703,0.8238713928070527
108,control,15,averse,6,2023-07-31,0.01626706409429879,0.06581080770234174,2.132508988504744
109,control,15,averse,6,2023-08-31,-0.004943869971865689,0.12337304851626628,-0.5722999046635457
110,control,15,averse,6,2023-09-30,-0.05394752363200073,0.11517534898128504,-2.0952808302489525
111,control,15,averse,6,2023-10-31,-0.06639543288112715,0.1096112776997762,-2.028946572682768
112,control,15,averse,6,2023-11-30,0.0039313812221246636,0.12484250476278111,-0.26481198219513397
113,control,15,averse,6,2023-12-31,0.03401992858717984,0.11808402478608927,0.20471755170435377
114,control,15,averse,6,2024-01-31,0.024310983187085133,0.11681489401905426,-0.01080708675610893
115,control,15,averse,6,2024-02-29,0.029325030683193143,0.11066774279106166,0.013556743801046621
116,control,15,averse,6,2024-03-31,0.026381953359644106,0.10623122201691604,-0.07479563850773906
117,control,15,averse,6,2024-04-30,0.0039583504736300235,0.10764293651415745,-0.350207229057871
118,control,15,averse,6,2024-05-31,0.06260072910069714,0.10934269462709018,0.23425430360415314
119,control,15,averse,6,2024-06-30,0.10608276469384337,0.11011430699642855,0.5594508062208224
120,control,15,averse,6,2024-07-31,0.138352423740415,0.11106337663654837,0.7483038283671476
121,control,15,averse,6,2024-08-31,0.16290585049043083,0.10982414180099419,0.8642938999529682
122,control,15,averse,6,2024-09-30,0.1822438944271152,0.1084195168648434,0.90961090091995
123,control,15,averse,6,2024-10-31,0.1564220261496292,0.10720867555408158,0.6681000834362582
124,control,15,averse,6,2024-11-30,0.19690080578643387,0.10771259852037493,0.8564103646350489
125,control,15,averse,6,2024-12-31,0.1997723782911569,0.10497789104852813,0.8095923177617045
126,control,15,averse,7,2023-07-31,0.011755486849298613,0.05248920913894545,1.6548552091909252
127,control,15,averse,7,2023-08-31,-0.005049291373164788,0.09524841423667316,-0.7475303573929276
128,control,15,averse,7,2023-09-30,-0.047153892261117325,0.08857110399554134,-2.4620460780507294
129,control,15,averse,7,2023-10-31,-0.0593674155225985,0.08636626029642294,-2.3670837067113273
130,control,15,averse,7,2023-11-30,0.0031525866788213452,0.10382776006784103,-0.33622486831914405
131,control,15,averse,7,2023-12-31,0.03561698691117865,0.10034094229117238,0.2725579780191167
132,control,15,averse,7,2024-01-31,0.024669483340036935,0.09779009217713906,-0.006658506984220741
133,control,15,averse,7,2024-02-29,0.02894890719937293,0.09233419687143521,0.010111445047918706
134,control,15,averse,7,2024-03-31,0.030047342596492665,0.08829225831278079,-0.035571473871609374
135,control,15,averse,7,2024-04-30,0.004788457998191165,0.08912587534716714,-0.41195129390834606
