JNJ;AAPL.O;MSFT.O;KO;PG;TSLA.O;META.O;SQ;AMZN.O;GOOGL.O;NVDA.O;GME;BYND.O;PLTR.K;MRNA.O;NIO;DKNG.O;AMC;NEE;WM;MMM;FSLR.O;VWDRY.PK;ADBE.O;NKE;AWK;BAC;TDOC.K;CRM;BEP;T;LC;TTD.O;PFE;AMD.O;HASI.K;DLR;CSX.O;UL;ETSY.O;BXP;ARE;AMT;PLD;BG;XYL;NTR;,,,,,
Paused at 11:10:01,RIC Code,ESG Score,Governance Pillar Score,Social Pillar Score,Environmental Pillar Score
JNJ,JNJ,88.94048142,73.98721018,97.37588322,92.14097946
AAPL.O,AAPL.O,80.37577518,93.54574226,80.00301477,65.36952194
MSFT.O,MSFT.O,89.33252368,93.63165329,88.30266319,77.95817268
KO,KO,79.96496928,83.55553,86.03916304,67.66469582
PG,PG,56.98907299,57.82831302,52.05224882,65.74921327
TSLA.O,TSLA.O,70.82483274,60.81022664,73.58777801,74.61215377
META.O,META.O,66.68324463,72.11060563,66.45579157,49.24491584
SQ,SQ,51.27799994,40.27409027,50.89004378,67.70604483
AMZN.O,AMZN.O,78.37025933,68.35518414,81.60574853,86.10989728
GOOGL.O,GOOGL.O,81.49701358,82.06416876,82.52090724,76.66754225
NVDA.O,NVDA.O,76.17584778,90.86424262,73.82688914,67.16533688
GME,GME,23.19177419,38.4901804,15.2490566,10.24544529
BYND.O,BYND.O,32.48892629,52.82315047,27.2437321,22.24193155
PLTR.K,PLTR.K,34.73164754,48.06697499,30.65450294,1.983471074
MRNA.O,MRNA.O,70.65925118,75.61770977,58.111399,80.3702946
NIO,NIO,22.38335519,25.50387597,23.65031102,18.61093782
DKNG.O,DKNG.O,17.58847868,19.96331611,20.29194847,10.44398745
AMC,AMC,73.18829476,77.9047619,70.32414671,73.27742907
NEE,NEE,81.32401993,83.19874433,78.05025172,82.72471068
WM,WM,86.21840918,93.05381679,90.55965268,68.52904905
MMM,MMM,89.82316492,80.01950832,95.65863218,90.03099174
FSLR.O,FSLR.O,74.01181895,73.19129091,83.29510602,68.18290577
VWDRY.PK,VWDRY.PK,71.35958003,67.36625514,69.44744675,76.23284314
ADBE.O,ADBE.O,76.62027043,76.06426201,77.21715275,76.76035853
NKE,NKE,73.93966284,47.42576086,84.40430959,85.23593466
AWK,AWK,83.99428356,84.87800893,92.96466974,77.11309281
BAC,BAC,84.18688555,73.87338754,91.07149113,86.25698909
TDOC.K,TDOC.K,46.85977463,83.86305818,35.54861111,0
CRM,CRM,72.81152496,69.41712581,75.65299673,75.97011239
BEP,BEP,65.00545999,48.67816092,60.14729773,78.32481881
T,T,75.47607809,37.32137168,93.01416699,79.36446261
LC,LC,35.09769238,48.04385063,35.59744431,1.010928962
TTD.O,TTD.O,22.87129617,19.65142172,34.57856968,0
PFE,PFE,81.01191902,65.6032189,89.38619798,84.95801737
AMD.O,AMD.O,69.17402746,59.44807975,74.05505534,70.56757056
HASI.K,HASI.K,84.43347069,81.90404678,76.76076067,92.77625307
DLR,DLR,73.72075738,84.09238617,54.74354829,80.10292478
CSX.O,CSX.O,62.12532335,68.09895137,52.426951,67.65387005
UL,UL,91.78487283,90.72650628,93.56706044,89.37787461
ETSY.O,ETSY.O,48.28739765,49.53325437,40.58550568,55.9341535
BXP,BXP,77.37247827,73.73787476,63.6776674,91.50891478
ARE,ARE,75.72257936,84.15668721,79.23921464,65.66328996
AMT,AMT,81.24654212,85.89787824,77.90966824,79.94507158
PLD,PLD,70.40323652,77.60987315,67.15712506,66.83846624
BG,BG,79.76902087,82.5147008,74.63254711,85.34084386
XYL,XYL,83.87148771,94.58845242,83.35439434,75.50565617
NTR,NTR,73.36437849,77.04216294,73.84832648,70.81844976
,,,,,
