VOO;GOVT.K;VNQ;BND.O;VIG;AGG;IEF.O;IAU;DBC;QQQ.O;VTI;SPY;ICLN.O;ARKK.K;VWO;VGT;XLV;ARKG.K;ESGV.K;EAGG.K;DSI;WOMN.K;BGRN.O;GRNB.K;ESGD.O;ACWI.O;CRBN.K;KRMA.O;EFIV.K;SUSL.O;VCEB.K;SUSA.K;MOO;FAN;VGIT.O;NOBL.K;LQD;VT;MUB;EEM;ESGU.O;SDG.O;TAN;ESGW.S;PHO.O;EFA;BIV;DVY.O;GLD;XLK;VYM;HYG;VB;USO;DBA;MCHI.O;EWZ;JNK;BKLN.K;BOTZ.O;TLT.O;SUSC.O;VSGX.K;ESGE.O;PBW;SPYX.K;,,,
Paused at 15:30:09,RIC Code,ESG Score,ESG Score manual
VOO,VOO,NULL,73.91
GOVT.K,GOVT.K,NULL,NULL
VNQ,VNQ,NULL,65.78
BND.O,BND.O,NULL,NULL
VIG,VIG,NULL,74.92
AGG,AGG,NULL,NULL
IEF.O,IEF.O,NULL,NULL
IAU,IAU,NULL,NULL
DBC,DBC,NULL,NULL
QQQ.O,QQQ.O,NULL,73.87
VTI,VTI,NULL,70.43
SPY,SPY,NULL,73.9
ICLN.O,ICLN.O,NULL,62.15
ARKK.K,ARKK.K,NULL,46.42
VWO,VWO,NULL,63.42
VGT,VGT,NULL,74.18
XLV,XLV,NULL,76.88
ARKG.K,ARKG.K,NULL,48.35
ESGV.K,ESGV.K,NULL,71.35
EAGG.K,EAGG.K,NULL,NULL
DSI,DSI,NULL,74.92
WOMN.K,WOMN.K,NULL,75.53
BGRN.O,BGRN.O,NULL,NULL
GRNB.K,GRNB.K,NULL,NULL
ESGD.O,ESGD.O,NULL,78.51
ACWI.O,ACWI.O,NULL,73.17
CRBN.K,CRBN.K,NULL,72.12
KRMA.O,KRMA.O,NULL,74.62
EFIV.K,EFIV.K,NULL,76.49
SUSL.O,SUSL.O,NULL,75.24
VCEB.K,VCEB.K,NULL,75.39
SUSA.K,SUSA.K,NULL,75.42
MOO,MOO,NULL,71.26
FAN,FAN,NULL,73.56
VGIT.O,VGIT.O,NULL,NULL
NOBL.K,NOBL.K,NULL,72.44
LQD,LQD,NULL,74.38
VT,VT,NULL,71.12
MUB,MUB,NULL,NULL
EEM,EEM,NULL,66.64
ESGU.O,ESGU.O,NULL,74.6
SDG.O,SDG.O,NULL,70.16
TAN,TAN,NULL,57.12
ESGW.S,ESGW.S,NULL,75.58
PHO.O,PHO.O,NULL,67.24
EFA,EFA,NULL,77.32
BIV,BIV,NULL,NULL
DVY.O,DVY.O,NULL,69.29
GLD,GLD,NULL,NULL
XLK,XLK,NULL,78.37
VYM,VYM,NULL,74.08
HYG,HYG,NULL,48
VB,VB,NULL,52.28
USO,USO,NULL,NULL
DBA,DBA,NULL,NULL
MCHI.O,MCHI.O,NULL,60.3
EWZ,EWZ,NULL,72.37
JNK,JNK,NULL,54.34
BKLN.K,BKLN.K,NULL,NULL
BOTZ.O,BOTZ.O,NULL,58.22
TLT.O,TLT.O,NULL,NULL
SUSC.O,SUSC.O,NULL,74.75
VSGX.K,VSGX.K,NULL,70.93
ESGE.O,ESGE.O,NULL,70.36
PBW,PBW,NULL,44.98
SPYX.K,SPYX.K,NULL,73.97
