VFINX.O;VTSAX.O;VSMGX.O;FCNTX.O;TISCX.O;CGAFX.O;TICRX.O;TICSX.O;VFTAX.O;PRBLX.O;CSIIX.O;CSIEX.O;PRILX.O;CFGRX.O;DSEFX.O;VFIAX.O;SWPPX.O;VTSMX.O;VBTLX.O;TICCX.O;PAXIX.O;CIBFX.O;CCPIX.O;TSBRX.O;TSBIX.O;PRFDX.O;CGAEX.O;IEMGX.O;PRFIX.O;CGRIX.O;CAAFX.O;TRIIX.O;PXWEX.O;,,,
Paused at 13:18:38,RIC Code,ESG Score,ESG Score manual
VFINX.O,VFINX.O,Unable to resolve some identifier(s).,73.91
VTSAX.O,VTSAX.O,Unable to resolve some identifier(s).,70.43
VSMGX.O,VSMGX.O,Unable to resolve some identifier(s).,64
FCNTX.O,FCNTX.O,Unable to resolve some identifier(s).,68.85
TISCX.O,TISCX.O,NULL,65
CGAFX.O,CGAFX.O,NULL,NULL
TICRX.O,TICRX.O,NULL,65
TICSX.O,TICSX.O,NULL,52.35
VFTAX.O,VFTAX.O,NULL,73.57
PRBLX.O,PRBLX.O,Unable to resolve some identifier(s).,76.1
CSIIX.O,CSIIX.O,NULL,57.98
CSIEX.O,CSIEX.O,NULL,65
PRILX.O,PRILX.O,NULL,76.1
CFGRX.O,CFGRX.O,NULL,73.94
DSEFX.O,DSEFX.O,NULL,75
VFIAX.O,VFIAX.O,Unable to resolve some identifier(s).,73.91
SWPPX.O,SWPPX.O,Unable to resolve some identifier(s).,73.9
VTSMX.O,VTSMX.O,Unable to resolve some identifier(s).,70.43
VBTLX.O,VBTLX.O,Unable to resolve some identifier(s).,NULL
TICCX.O,TICCX.O,NULL,74.35
PAXIX.O,PAXIX.O,NULL,70.59
CIBFX.O,CIBFX.O,NULL,71
CCPIX.O,CCPIX.O,NULL,58.83
TSBRX.O,TSBRX.O,NULL,NULL
TSBIX.O,TSBIX.O,NULL,NULL
PRFDX.O,PRFDX.O,NULL,74.03
CGAEX.O,CGAEX.O,NULL,59
IEMGX.O,IEMGX.O,NULL,70.04
PRFIX.O,PRFIX.O,NULL,69.53
CGRIX.O,CGRIX.O,NULL,71.69
CAAFX.O,CAAFX.O,NULL,NULL
TRIIX.O,TRIIX.O,NULL,48.34
PXWEX.O,PXWEX.O,NULL,76.82
,,,
