ESGV.K;EAGG.K;DSI;WOMN.K;BGRN.O;GRNB.K;ESGD.O;ACWI.O;CRBN.K;KRMA.O;EFIV.K;SUSL.O;VCEB.K;SUSA.K;MOO;VGIT.O;ESGU.O;SDG.O;ESGW.S;PHO.O;BIV;DBA;EWZ;JNK;BKLN.K;SUSC.O;VSGX.K;ESGE.O;SPYX.K;TISCX.O;CGAFX.O;TICRX.O;TICSX.O;VFTAX.O;CSIIX.O;CSIEX.O;PRILX.O;CFGRX.O;DSEFX.O;TICCX.O;PAXIX.O;CIBFX.O;CCPIX.O;TSBRX.O;TSBIX.O;PRFDX.O;CGAEX.O;IEMGX.O;PRFIX.O;CGRIX.O;CAAFX.O;TRIIX.O;PXWEX.O;,,,
Paused at 08:24:28,Fund Type,Total Expense Ratio,Management Approach
ESGV.K,Equity,0.09,Active
EAGG.K,Bond,0.09,Active
DSI,Equity,0.25,Active
WOMN.K,Equity,0.75,Active
BGRN.O,Bond,0.12,Active
GRNB.K,Bond,0.2,Active
ESGD.O,Equity,0.2,Active
ACWI.O,Equity,0.32,Passive
CRBN.K,Equity,0.2,Active
KRMA.O,Equity,0.43,Active
EFIV.K,Equity,0.1,Active
SUSL.O,Equity,0.1,Active
VCEB.K,Bond,0.12,Passive
SUSA.K,Equity,0.25,Active
MOO,Equity,0.53,Passive
VGIT.O,Bond,0.04,Passive
ESGU.O,Equity,0.15,Active
SDG.O,Equity,0.49,Active
ESGW.S,Equity,0.19,Passive
PHO.O,Equity,0.6,Passive
BIV,Bond,0.04,Passive
DBA,Commodity,0.88,Passive
EWZ,Equity,0.58,Passive
JNK,Bond,0.4,Active
BKLN.K,Bond,0.65,Passive
SUSC.O,Bond,0.18,Active
VSGX.K,Equity,0.12,Active
ESGE.O,Equity,0.25,Active
SPYX.K,Equity,0.21,Active
TISCX.O,Equity,0.17,Active
CGAFX.O,Bond,0.73,Active
TICRX.O,Equity,0.41,Active
TICSX.O,Equity,0.8,Active
VFTAX.O,Equity,0.14,Passive
CSIIX.O,Equity,0.98,Active
CSIEX.O,Equity,0.91,Active
PRILX.O,Equity,0.61,Active
CFGRX.O,Equity,0.74,Active
DSEFX.O,Equity,1.05,Active
TICCX.O,Bond,0.41,Active
PAXIX.O,Mixed Assets,0.05,Active
CIBFX.O,Equity,0.64,Active
CCPIX.O,Equity,0.93,Active
TSBRX.O,Bond,0.62,Active
TSBIX.O,Bond,0.36,Active
PRFDX.O,Equity,0.67,Active
CGAEX.O,Equity,1.24,Passive
IEMGX.O,Equity,1.15,Active
PRFIX.O,Bond,0.68,Active
CGRIX.O,Equity,1.05,Active
CAAFX.O,Bond,0.65,Active
TRIIX.O,Mixed Assets,1.33,Active
PXWEX.O,Equity,0.77,Active
